saturated steam tables - metric units,,,,,,
,,,Water,Evap'n,Steam,Sp. Vol
Pressure,,Temp,(hf),(hfg),(hg),Dry Sat
bar,kPa,°C,kJ/kg,kJ/kg,kJ/kg,m3/kg
absolute,,,,,,
0.3,30,69.1,289.23,2336.1,2625.3,5.229
0.5,50,81.33,340.49,2305.4,2645.9,3.24
0.75,75,91.78,384.39,2278.6,2663,2.217
0.95,95,98.2,411.43,2261.8,2673.2,1.777
1,100,99.63,417.51,2257.9,2675.4,1.694
1.013,101.3,100,419.06,2257,2676,1.673
gauge,,,,,,
0,0,100,419.06,2257,2676,1.673
0.1,10,102.66,430.2,2250.2,2680.2,1.533
0.2,20,105.1,440.8,2243.4,2684.2,1.414
0.3,30,107.39,450.4,2237.2,2687.6,1.312
0.4,40,109.55,459.7,2231.3,2691,1.225
0.5,50,111.61,468.3,2225.6,2693.9,1.149
0.6,60,113.56,476.4,2220.4,2696.8,1.088
0.7,70,115.4,484.1,2215.4,2699.5,1.024
0.8,80,117.14,491.6,2210.5,2702.1,0.971
0.9,90,118.8,498.9,2205.6,2704.5,0.923
1,100,120.42,505.6,2201.1,2706.7,0.881
1.1,110,121.96,512.2,2197,2709.2,0.841
1.2,120,123.46,518.7,2192.8,2711.5,0.806
1.3,130,124.9,524.6,2188.7,2713.3,0.773
1.4,140,126.28,530.5,2184.8,2715.3,0.743
1.5,150,127.62,536.1,2181,2717.1,0.714
1.6,160,128.89,541.6,2177.3,2718.9,0.689
1.7,170,130.13,547.1,2173.7,2720.8,0.665
1.8,180,131.37,552.3,2170.1,2722.4,0.643
1.9,190,132.54,557.3,2166.7,2724,0.622
2,200,133.69,562.2,2163.3,2725.5,0.603
2.2,220,135.88,571.7,2156.9,2728.6,0.568
2.4,240,138.01,580.7,2150.7,2731.4,0.536
2.6,260,140,589.2,2144.7,2733.9,0.509
2.8,280,141.92,597.4,2139,2736.4,0.483
3,300,143.75,605.3,2133.4,2738.7,0.461
3.2,320,145.46,612.9,2128.1,2741,0.44
3.4,340,147.2,620,2122.9,2742.9,0.422
3.6,360,148.84,627.1,2117.8,2744.9,0.405
3.8,380,150.44,634,2112.9,2746.9,0.389
4,400,151.96,640.7,2108.1,2748.8,0.374
4.5,450,155.55,656.3,2096.7,2753,0.342
5,500,158.92,670.9,2086,2756.9,0.315
5.5,550,162.08,684.6,2075.7,2760.3,0.292
6,600,165.04,697.5,2066,2763.5,0.272
6.5,650,167.83,709.7,2056.8,2766.5,0.255
7,700,170.5,721.4,2047.7,2769.1,0.24
7.5,750,173.02,732.5,2039.2,2771.7,0.227
8,800,175.43,743.1,2030.9,2774,0.215
8.5,850,177.75,753.3,2022.9,2776.2,0.204
9,900,179.97,763,2015.1,2778.1,0.194
9.5,950,182.1,772.5,2007.5,2780,0.185
10,1000,184.13,781.6,2000.1,2781.7,0.177
10.5,1050,186.05,790.1,1993,2783.3,0.171
11,1100,188.02,798.8,1986,2784.8,0.163
11.5,1150,189.82,807.1,1979.1,2786.3,0.157
12,1200,191.68,815.1,1972.5,2787.6,0.151
12.5,1250,193.43,822.9,1965.4,2788.8,0.148
13,1300,195.1,830.4,1959.6,2790,0.141
13.5,1350,196.62,837.9,1953.2,2791.1,0.136
14,1400,198.35,845.1,1947.1,2792.2,0.132
14.5,1450,199.92,852.1,1941,2793.1,0.128
15,1500,201.45,859,1935,2794,0.124
15.5,1550,202.92,865.7,1928.8,2794.9,0.119
16,1600,204.38,872.3,1923.4,2795.7,0.117
17,1700,207.17,885,1912.1,2797.1,0.11
18,1800,209.9,897.2,1901.3,2798.5,0.105
19,1900,212.47,909,1890.5,2799.5,0.1
20,2000,214.96,920.3,1880.2,2800.5,0.0994
21,2100,217.35,931.3,1870.1,2801.4,0.0906
22,2200,219.65,941.9,1860.1,2802,0.0868
23,2300,221.85,952.2,1850.4,2802.6,0.0832
24,2400,224.02,962.2,1840.9,2803.1,0.0797
25,2500,226.12,972.1,1831.4,2803.5,0.0768
26,2600,228.15,981.6,1822.2,2803.8,0.074
27,2700,230.14,990.7,1818.3,2804,0.0714
28,2800,232.05,999.7,1804.4,2804.1,0.0689
29,2900,233.93,1008.6,1795.6,2804.2,0.0666
30,3000,235.78,1017,1787,2804.1,0.0645
31,3100,237.55,1025.6,1778.5,2804.1,0.0625
32,3200,239.28,1033.9,1770,2803.9,0.0605
33,3300,240.97,1041.9,1761.8,2803.7,0.0587
34,3400,242.63,1049.7,1753.8,2803.5,0.0571
35,3500,244.26,1057.7,1745.5,2803.2,0.0554
36,3600,245.86,1065.7,1737.2,2802.9,0.0539
37,3700,247.42,1072.9,1729.5,2802.4,0.0524
38,3800,248.95,1080.3,1721.6,2801.9,0.051
39,3900,250.42,1087.4,1714.1,2801.5,0.0498
40,4000,251.94,1094.6,1706.3,2800.9,0.0485
41,4100,253.34,1101.6,1698.3,2799.9,0.0473
42,4200,254.74,1108.6,1691.2,2799.8,0.0461
43,4300,256.12,1115.4,1683.7,2799.1,0.0451
44,4400,257.5,1122.1,1676.2,2798.3,0.0441
45,4500,258.82,1228.7,1668.9,2797.6,0.0431
46,4600,260.13,1135.3,1666.6,2796.9,0.0421
47,4700,261.43,1142.2,1654.5,2796.6,0.0412
48,4800,262.73,1148.1,1647.1,2795.2,0.0403
49,4900,264,1154.5,1639.9,2794.4,0.0394
50,5000,265.26,1160.8,1632.8,2793.6,0.0386
51,5100,266.45,1166.6,1626.9,2792.6,0.0378
52,5200,267.67,1172.6,1619,2791.6,0.0371
53,5300,268.84,1178.7,1612,2790.7,0.0364
54,5400,270.02,1184.6,1605.1,2789.7,0.0357
55,5500,271.2,1190.5,1598.2,2788.7,0.035
56,5600,272.33,1196.3,1591.3,2787.6,0.0343
57,5700,273.45,1202.1,1584.5,2786.6,0.0337
58,5800,274.55,1207.8,1577.7,2785.5,0.0331
59,5900,275.65,1213.4,1571,2784.4,0.0325
60,6000,276.73,1218.9,1564.4,2783.3,0.0319
61,6100,277.8,1224.5,1557.6,2782.1,0.0314
62,6200,278.85,1230,1550.9,2780.9,0.0308
63,6300,279.89,1235.4,1544.3,2779.7,0.0303
64,6400,280.92,1240.8,1537.3,2778.5,0.0298
65,6500,281.95,1246.1,1531.2,2777.3,0.0293
66,6600,282.95,1251.4,1524.7,2776.1,0.0288
67,6700,283.95,1256.7,1518.1,2774.8,0.0283
68,6800,284.93,1261.9,1511.6,2773.5,0.0278
69,6900,285.9,1267,1501.1,2772.1,0.0274
70,7000,286.85,1272.1,1498.7,2770.8,0.027
71,7100,287.8,1277.3,1492.2,2769.5,0.0266
72,7200,288.75,1282.3,1485.8,2768.1,0.0262
73,7300,289.69,1287.3,1479.4,2766.7,0.0258
74,7400,290.6,1292.3,1473,2765.3,0.0254
75,7500,291.51,1297.2,1466.6,2763.8,0.025
76,7600,292.41,1302.3,1460.2,2762.5,0.0246
77,7700,293.91,1307,1453.9,2760.9,0.0242
78,7800,294.2,1311.9,1447.6,2759.9,0.0239
79,7900,295.1,1316.7,1441.3,2758,0.0236
80,8000,295.96,1312.5,1435,2756.5,0.0233
81,8100,296.81,1326.2,1428.7,2754.9,0.0229
82,8200,297.66,1330.9,1422.5,2753.4,0.0226
83,8300,298.5,1335.7,1416.2,2751.9,0.0223
84,8400,299.35,1340.3,1410,2750.3,0.022
85,8500,300.2,1345,1403.8,2748.8,0.0217
86,8600,301,1349.6,1397.6,2747.2,0.0214
87,8700,301.81,1354.2,1391.3,2745.5,0.0211
88,8800,302.61,1358.8,1385.2,2744,0.0208
89,8900,303.41,1363.3,1379,2742.3,0.0205
90,9000,304.2,1367.8,1372.7,2740.5,0.0202
92,9200,305.77,1376.8,1360.3,2737.1,0.0197
94,9400,307.24,1385.7,1348,2733.7,0.0192
96,9600,308.83,1394.5,1335.7,2730.2,0.0187
98,9800,310.32,1403.2,1323.3,2726.5,0.0183
100,10000,311.79,1411.9,1310.9,2722.8,0.0178
102,10200,313.24,1420.5,1298.7,2719.2,0.0174
104,10400,314.67,1429,1286.3,2715.3,0.017
106,10600,316.08,1437.5,1274,2711.5,0.0166
108,10800,317.46,1445.9,1261.7,2707.6,0.0162
110,11000,318.83,1454.3,1249.3,2703.6,0.0158
112,11200,320.17,1462.6,1237,2699.6,0.0154
114,11400,321.5,1470.8,1224.6,2695.4,0.015
116,11600,322.81,1479,1212.2,2691.2,0.0147
118,11800,324.1,1487.2,1199.8,2687,0.0144
120,12000,325.38,1495.4,1187.3,2682.7,0.0141
